Date Saved,6/15/2018 10:53:33 AM
Title,LEDBENCH_002_02ﾟ_5407K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],5407
⊿uv,0.0037
Illuminance [lx],4610
Illuminance [fc],429
Peak Wavelength [nm],451
Tristimulus Value X,4409.7296
Tristimulus Value Y,4614.1262
Tristimulus Value Z,4147.9144
CIE1931 x,0.3348
CIE1931 y,0.3503
CIE1931 z,0.3149
CIE1976 u',0.2049
CIE1976 v',0.4825
Dominant Wavelength [nm],558
Purity [%],5.58
PPFD [umolm⁻²s⁻¹],64.5
CRI Ra,82.6
CRI R1,80.4
CRI R2,88.0
CRI R3,93.0
CRI R4,82.0
CRI R5,81.4
CRI R6,83.3
CRI R7,86.8
CRI R8,66.2
CRI R9,2.0
CRI R10,71.2
CRI R11,80.8
CRI R12,64.4
CRI R13,82.4
CRI R14,96.3
CRI R15,74.2

Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 395[nm],0.000000000000
Spectral Data 400[nm],0.000000000000
Spectral Data 405[nm],0.000000000000
Spectral Data 410[nm],0.000124317725
Spectral Data 415[nm],0.001881294651
Spectral Data 420[nm],0.006289764307
Spectral Data 425[nm],0.013911786489
Spectral Data 430[nm],0.025719633326
Spectral Data 435[nm],0.043488748372
Spectral Data 440[nm],0.066907688975
Spectral Data 445[nm],0.089109823108
Spectral Data 450[nm],0.099459476769
Spectral Data 455[nm],0.094072565436
Spectral Data 460[nm],0.078638255596
Spectral Data 465[nm],0.062588676810
Spectral Data 470[nm],0.049600981176
Spectral Data 475[nm],0.040305212140
Spectral Data 480[nm],0.035702578723
Spectral Data 485[nm],0.035688560456
Spectral Data 490[nm],0.038821354508
Spectral Data 495[nm],0.042671807110
Spectral Data 500[nm],0.046739697456
Spectral Data 505[nm],0.051050595939
Spectral Data 510[nm],0.054863255471
Spectral Data 515[nm],0.057783212513
Spectral Data 520[nm],0.060181610286
Spectral Data 525[nm],0.062134031206
Spectral Data 530[nm],0.064654245973
Spectral Data 535[nm],0.066459864378
Spectral Data 540[nm],0.066527299583
Spectral Data 545[nm],0.066784709692
Spectral Data 550[nm],0.068393230438
Spectral Data 555[nm],0.070032440126
Spectral Data 560[nm],0.070959240198
Spectral Data 565[nm],0.071784384549
Spectral Data 570[nm],0.071933105588
Spectral Data 575[nm],0.071771852672
Spectral Data 580[nm],0.072113297880
Spectral Data 585[nm],0.071781657636
Spectral Data 590[nm],0.070826180279
Spectral Data 595[nm],0.069634914398
Spectral Data 600[nm],0.067639574409
Spectral Data 605[nm],0.065257497132
Spectral Data 610[nm],0.062362700701
Spectral Data 615[nm],0.058707207441
Spectral Data 620[nm],0.054771658033
Spectral Data 625[nm],0.050672378391
Spectral Data 630[nm],0.046460080892
Spectral Data 635[nm],0.042324747890
Spectral Data 640[nm],0.038175426424
Spectral Data 645[nm],0.034295570105
Spectral Data 650[nm],0.030618358403
Spectral Data 655[nm],0.027196634561
Spectral Data 660[nm],0.023962242529
Spectral Data 665[nm],0.020830322057
Spectral Data 670[nm],0.018014259636
Spectral Data 675[nm],0.015654558316
Spectral Data 680[nm],0.013715029694
Spectral Data 685[nm],0.011903017759
Spectral Data 690[nm],0.010320574045
Spectral Data 695[nm],0.008986682631
Spectral Data 700[nm],0.007763985544
Spectral Data 705[nm],0.006703754421
Spectral Data 710[nm],0.005757268053
Spectral Data 715[nm],0.005050887819
Spectral Data 720[nm],0.004604937043
Spectral Data 725[nm],0.004162269644
Spectral Data 730[nm],0.003480549203
Spectral Data 735[nm],0.002660023514
Spectral Data 740[nm],0.002726474311
Spectral Data 745[nm],0.003132600337
Spectral Data 750[nm],0.002562708920
