Date Saved,6/15/2018 10:53:43 AM
Title,LEDFIX2500DX100_002_02ﾟ_5298K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],5298
⊿uv,0.0062
Illuminance [lx],6200
Illuminance [fc],576
Peak Wavelength [nm],450
Tristimulus Value X,5851.8696
Tristimulus Value Y,6201.6144
Tristimulus Value Z,5272.1370
CIE1931 x,0.3378
CIE1931 y,0.3579
CIE1931 z,0.3043
CIE1976 u',0.2041
CIE1976 v',0.4866
Dominant Wavelength [nm],562
Purity [%],8.77
PPFD [umolm⁻²s⁻¹],87.3
CRI Ra,83.1
CRI R1,81.2
CRI R2,86.4
CRI R3,90.4
CRI R4,83.8
CRI R5,81.8
CRI R6,81.6
CRI R7,88.8
CRI R8,71.1
CRI R9,14.0
CRI R10,67.9
CRI R11,83.0
CRI R12,60.1
CRI R13,82.3
CRI R14,94.8
CRI R15,75.8

Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 395[nm],0.000000000000
Spectral Data 400[nm],0.000000000000
Spectral Data 405[nm],0.000000000000
Spectral Data 410[nm],0.000008688780
Spectral Data 415[nm],0.000922558771
Spectral Data 420[nm],0.004728216212
Spectral Data 425[nm],0.012502669357
Spectral Data 430[nm],0.026162598282
Spectral Data 435[nm],0.049869772047
Spectral Data 440[nm],0.087133973837
Spectral Data 445[nm],0.126858666539
Spectral Data 450[nm],0.144481897354
Spectral Data 455[nm],0.128378301859
Spectral Data 460[nm],0.096938006580
Spectral Data 465[nm],0.070509754121
Spectral Data 470[nm],0.052394092083
Spectral Data 475[nm],0.040827635676
Spectral Data 480[nm],0.036693949252
Spectral Data 485[nm],0.039055965841
Spectral Data 490[nm],0.045764587820
Spectral Data 495[nm],0.053996969014
Spectral Data 500[nm],0.062581002712
Spectral Data 505[nm],0.070864431560
Spectral Data 510[nm],0.077584497631
Spectral Data 515[nm],0.082298941910
Spectral Data 520[nm],0.085824437439
Spectral Data 525[nm],0.088421285152
Spectral Data 530[nm],0.091535143554
Spectral Data 535[nm],0.093530267477
Spectral Data 540[nm],0.093008011580
Spectral Data 545[nm],0.092549718916
Spectral Data 550[nm],0.093712784350
Spectral Data 555[nm],0.094764471054
Spectral Data 560[nm],0.094817675650
Spectral Data 565[nm],0.094760268927
Spectral Data 570[nm],0.093789122999
Spectral Data 575[nm],0.092564530671
Spectral Data 580[nm],0.092237785459
Spectral Data 585[nm],0.091464601457
Spectral Data 590[nm],0.090301714838
Spectral Data 595[nm],0.089076794684
Spectral Data 600[nm],0.087126195431
Spectral Data 605[nm],0.084963016212
Spectral Data 610[nm],0.082393459976
Spectral Data 615[nm],0.079068258405
Spectral Data 620[nm],0.075360015035
Spectral Data 625[nm],0.071282237768
Spectral Data 630[nm],0.066776774824
Spectral Data 635[nm],0.062006659806
Spectral Data 640[nm],0.056931581348
Spectral Data 645[nm],0.051998738199
Spectral Data 650[nm],0.047156043351
Spectral Data 655[nm],0.042449519038
Spectral Data 660[nm],0.037826128304
Spectral Data 665[nm],0.033326648176
Spectral Data 670[nm],0.029318235815
Spectral Data 675[nm],0.026017256081
Spectral Data 680[nm],0.023509748280
Spectral Data 685[nm],0.021530296654
Spectral Data 690[nm],0.019910465926
Spectral Data 695[nm],0.017894096673
Spectral Data 700[nm],0.015319814906
Spectral Data 705[nm],0.013208028860
Spectral Data 710[nm],0.011697219685
Spectral Data 715[nm],0.010439357720
Spectral Data 720[nm],0.009368847124
Spectral Data 725[nm],0.008413261734
Spectral Data 730[nm],0.007343801204
Spectral Data 735[nm],0.006324387621
Spectral Data 740[nm],0.006293189246
Spectral Data 745[nm],0.006645511836
Spectral Data 750[nm],0.005922378507
Spectral Data 755[nm],0.004306370392
Spectral Data 760[nm],0.002780104522
Spectral Data 765[nm],0.003251041053
Spectral Data 770[nm],0.003641675459
Spectral Data 775[nm],0.003437591717
Spectral Data 780[nm],0.003403333714

Spectral Data 380[nm],0.000000000000
Spectral Data 381[nm],0.000000000000
Spectral Data 382[nm],0.000000000000
Spectral Data 383[nm],0.000000000000
Spectral Data 384[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 386[nm],0.000000000000
Spectral Data 387[nm],0.000000000000
Spectral Data 388[nm],0.000000000000
Spectral Data 389[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 391[nm],0.000000000000
Spectral Data 392[nm],0.000000000000
Spectral Data 393[nm],0.000000000000
Spectral Data 394[nm],0.000000000000
Spectral Data 395[nm],0.000000000000
Spectral Data 396[nm],0.000000000000
Spectral Data 397[nm],0.000000000000
Spectral Data 398[nm],0.000000000000
Spectral Data 399[nm],0.000000000000
Spectral Data 400[nm],0.000000000000
Spectral Data 401[nm],0.000000000000
Spectral Data 402[nm],0.000000000000
Spectral Data 403[nm],0.000000000000
Spectral Data 404[nm],0.000000000000
Spectral Data 405[nm],0.000000000000
Spectral Data 406[nm],0.000000000000
Spectral Data 407[nm],0.000000000000
Spectral Data 408[nm],0.000000000000
Spectral Data 409[nm],0.000000000000
Spectral Data 410[nm],0.000000000000
Spectral Data 411[nm],0.000000000000
Spectral Data 412[nm],0.000000000000
Spectral Data 413[nm],0.000000000000
Spectral Data 414[nm],0.000217471388
Spectral Data 415[nm],0.000675929477
Spectral Data 416[nm],0.001208066242
Spectral Data 417[nm],0.001830561901
Spectral Data 418[nm],0.002560096327
Spectral Data 419[nm],0.003413347527
Spectral Data 420[nm],0.004406888038
Spectral Data 421[nm],0.005557106808
Spectral Data 422[nm],0.006880378816
Spectral Data 423[nm],0.008393164724
Spectral Data 424[nm],0.010109146126
Spectral Data 425[nm],0.012038410641
Spectral Data 426[nm],0.014191072434
Spectral Data 427[nm],0.016577508301
Spectral Data 428[nm],0.019219355658
Spectral Data 429[nm],0.022148001939
Spectral Data 430[nm],0.025394890457
Spectral Data 431[nm],0.028994416818
Spectral Data 432[nm],0.033014923334
Spectral Data 433[nm],0.037546459585
Spectral Data 434[nm],0.042679417878
Spectral Data 435[nm],0.048491094261
Spectral Data 436[nm],0.054978873581
Spectral Data 437[nm],0.062100596726
Spectral Data 438[nm],0.069813318551
Spectral Data 439[nm],0.078058712184
Spectral Data 440[nm],0.086685992777
Spectral Data 441[nm],0.095512092113
Spectral Data 442[nm],0.104353994131
Spectral Data 443[nm],0.113018535078
Spectral Data 444[nm],0.121265299618
Spectral Data 445[nm],0.128840193152
Spectral Data 446[nm],0.135489121079
Spectral Data 447[nm],0.140961840749
Spectral Data 448[nm],0.145022660494
Spectral Data 449[nm],0.147439330816
Spectral Data 450[nm],0.147979691625
Spectral Data 451[nm],0.146556839347
Spectral Data 452[nm],0.143528431654
Spectral Data 453[nm],0.139336809516
Spectral Data 454[nm],0.134424194694
Spectral Data 455[nm],0.129106536508
Spectral Data 456[nm],0.123381979764
Spectral Data 457[nm],0.117200769484
Spectral Data 458[nm],0.110514402390
Spectral Data 459[nm],0.103410892189
Spectral Data 460[nm],0.096262678504
Spectral Data 461[nm],0.089479997754
Spectral Data 462[nm],0.083470202982
Spectral Data 463[nm],0.078402452171
Spectral Data 464[nm],0.074031025171
Spectral Data 465[nm],0.070068575442
Spectral Data 466[nm],0.066230840981
Spectral Data 467[nm],0.062387023121
Spectral Data 468[nm],0.058627888560
Spectral Data 469[nm],0.055061485618
Spectral Data 470[nm],0.051794085652
Spectral Data 471[nm],0.048873942345
Spectral Data 472[nm],0.046279631555
Spectral Data 473[nm],0.043985612690
Spectral Data 474[nm],0.041967291385
Spectral Data 475[nm],0.040221989155
Spectral Data 476[nm],0.038768924773
Spectral Data 477[nm],0.037628274411
Spectral Data 478[nm],0.036818664521
Spectral Data 479[nm],0.036332543939
Spectral Data 480[nm],0.036140557379
Spectral Data 481[nm],0.036212682724
Spectral Data 482[nm],0.036519780755
Spectral Data 483[nm],0.037043992430
Spectral Data 484[nm],0.037775274366
Spectral Data 485[nm],0.038703743368
Spectral Data 486[nm],0.039818335325
Spectral Data 487[nm],0.041097190231
Spectral Data 488[nm],0.042512163520
Spectral Data 489[nm],0.044034998864
Spectral Data 490[nm],0.045637749135
Spectral Data 491[nm],0.047295253724
Spectral Data 492[nm],0.048983678222
Spectral Data 493[nm],0.050679191947
Spectral Data 494[nm],0.052361603826
Spectral Data 495[nm],0.054034482688
Spectral Data 496[nm],0.055710896850
Spectral Data 497[nm],0.057403944433
Spectral Data 498[nm],0.059123355895
Spectral Data 499[nm],0.060861244798
Spectral Data 500[nm],0.062603957951
Spectral Data 501[nm],0.064337842166
Spectral Data 502[nm],0.066049948335
Spectral Data 503[nm],0.067730344832
Spectral Data 504[nm],0.069369897246
Spectral Data 505[nm],0.070959478617
Spectral Data 506[nm],0.072489067912
Spectral Data 507[nm],0.073945611715
Spectral Data 508[nm],0.075315400958
Spectral Data 509[nm],0.076584734023
Spectral Data 510[nm],0.077746599913
Spectral Data 511[nm],0.078812696040
Spectral Data 512[nm],0.079798012972
Spectral Data 513[nm],0.080717511475
Spectral Data 514[nm],0.081583738327
Spectral Data 515[nm],0.082403697073
Spectral Data 516[nm],0.083183623850
Spectral Data 517[nm],0.083929695189
Spectral Data 518[nm],0.084642753005
Spectral Data 519[nm],0.085313558578
Spectral Data 520[nm],0.085931748152
Spectral Data 521[nm],0.086487166584
Spectral Data 522[nm],0.086984567344
Spectral Data 523[nm],0.087452106178
Spectral Data 524[nm],0.087919905782
Spectral Data 525[nm],0.088417835534
Spectral Data 526[nm],0.088963568211
Spectral Data 527[nm],0.089558511972
Spectral Data 528[nm],0.090202979743
